ep_name,ep_max_rise_slack,ep_max_fall_slack,ep_max_rise_arrival,ep_max_fall_arrival,sp_name,launch_clock_latency,clock_latency_mean,clock_latency_std,path_required,path_arrival,path_slack,path_num_points,path_crpr,ep_ck_name,rise_fall
sa22_reg[6]/SI,-337.674438,-310.019836,591.664307,592.593994,sa31_reg[7]/CLK,370.991852,370.991852,0.000000,253.989868,591.664368,-337.674438,33,0.000183,sa22_reg[6]/CLK,rise
sa23_reg[6]/SI,-337.322449,-311.887482,581.960693,580.189819,sa10_reg[1]/CLK,366.018188,366.018188,0.000000,244.638229,581.960693,-337.322449,25,0.000000,sa23_reg[6]/CLK,rise
sa22_reg[5]/SI,-337.158020,-340.108704,590.522888,590.795959,sa31_reg[7]/CLK,370.991852,370.991852,0.000000,253.364868,590.523010,-337.158020,31,0.000000,sa22_reg[5]/CLK,rise
sa22_reg[1]/SI,-336.560760,-306.701721,593.933044,594.707275,sa31_reg[7]/CLK,370.991852,370.991852,0.000000,257.372284,593.933105,-336.560760,27,0.000183,sa22_reg[1]/CLK,rise
sa23_reg[1]/SI,-335.495972,-345.212158,585.815918,587.132141,sa10_reg[3]/CLK,365.496338,365.496338,0.000000,250.319962,585.815979,-335.495972,25,0.000000,sa23_reg[1]/CLK,rise
sa22_reg[4]/SI,-334.991272,-299.098785,597.582642,593.255127,sa31_reg[7]/CLK,370.991852,370.991852,0.000000,262.59137,597.582642,-334.991272,33,0.000183,sa22_reg[4]/CLK,rise
sa23_reg[2]/SI,-334.960449,-326.211731,587.199768,586.081299,sa10_reg[1]/CLK,366.018188,366.018188,0.000000,252.239319,587.199707,-334.960449,29,0.000000,sa23_reg[2]/CLK,rise
sa22_reg[0]/SI,-330.585205,-294.859802,599.051086,594.338989,sa31_reg[7]/CLK,370.991852,370.991852,0.000000,268.465881,599.051086,-330.585205,31,0.000183,sa22_reg[0]/CLK,rise
sa32_reg[3]/SI,-329.437988,-296.270599,598.198303,597.569519,sa31_reg[7]/CLK,370.991852,370.991852,0.000000,268.760315,598.198364,-329.437988,31,0.000183,sa32_reg[3]/CLK,rise
sa02_reg[7]/SI,-329.385193,-294.249084,599.843811,595.560425,sa31_reg[7]/CLK,370.991852,370.991852,0.000000,270.458618,599.843933,-329.385193,31,0.000183,sa02_reg[7]/CLK,rise
sa02_reg[4]/SI,-326.595032,-296.342926,596.071350,597.427856,sa31_reg[7]/CLK,370.991852,370.991852,0.000000,269.476318,596.071411,-326.595032,31,0.000183,sa02_reg[4]/CLK,rise
sa21_reg[6]/SI,-326.440735,-295.319397,596.200684,596.086792,sa01_reg[1]/CLK,370.947845,370.947845,0.000000,269.759949,596.200745,-326.440735,31,0.000183,sa21_reg[6]/CLK,rise
sa13_reg[4]/SI,-323.237000,-287.791077,583.050659,578.642273,sa10_reg[3]/CLK,365.496338,365.496338,0.000000,259.81366,583.050720,-323.237000,31,0.000183,sa13_reg[4]/CLK,rise
