"from_pin.full_name","to_pin.full_name",delay_max_rise,delay_max_fall,"variation_delay_max_rise.mean","variation_delay_max_rise.std_dev","variation_delay_max_fall.mean","variation_delay_max_fall.std_dev"
sa02_reg[2]/Q,FE_OCPC32906_sa02_2/A,0.192514,0.192601,0.192514,UNINIT,0.192601,UNINIT
sa02_reg[2]/Q,g95663/A,0.192514,0.192601,0.192514,UNINIT,0.192601,UNINIT
sa02_reg[2]/Q,FE_OCPC32551_sa02_2/A,0.192514,0.192601,0.192514,UNINIT,0.192601,UNINIT
FE_OCPC32906_sa02_2/Y,g218562/B,0.061527,0.061610,0.061527,UNINIT,0.061610,UNINIT
g95663/Y,FE_OFC3380_n_8208/A,0.142078,0.142322,0.142078,UNINIT,0.142322,UNINIT
g95663/Y,g219314/B,0.142078,0.142322,0.142078,UNINIT,0.142322,UNINIT
g95663/Y,g218496/A,0.142078,0.142322,0.142078,UNINIT,0.142322,UNINIT
g95663/Y,g213320/A1,0.142078,0.142322,0.142078,UNINIT,0.142322,UNINIT
FE_OCPC32551_sa02_2/Y,g219231/A,0.090603,0.090337,0.090603,UNINIT,0.090337,UNINIT
FE_OCPC32551_sa02_2/Y,g213211__6260/B,0.090603,0.090337,0.090603,UNINIT,0.090337,UNINIT
FE_OCPC32551_sa02_2/Y,g213216__3680/D,0.090603,0.090337,0.090603,UNINIT,0.090337,UNINIT
FE_OCPC32551_sa02_2/Y,g218530/A,0.090603,0.090337,0.090603,UNINIT,0.090337,UNINIT
FE_OCPC32551_sa02_2/Y,g213227__4733/B,0.090603,0.090337,0.090603,UNINIT,0.090337,UNINIT
g218562/Y,g214959/B,0.259803,0.259177,0.259803,UNINIT,0.259177,UNINIT
g218562/Y,FE_OFC1340_n_2596/A,0.259803,0.259177,0.259803,UNINIT,0.259177,UNINIT
g218562/Y,g217253/B,0.259803,0.259177,0.259803,UNINIT,0.259177,UNINIT
g218562/Y,g213011__5477/B2,0.259803,0.259177,0.259803,UNINIT,0.259177,UNINIT
FE_OFC3380_n_8208/Y,g219338/B,0.277805,0.277917,0.277805,UNINIT,0.277917,UNINIT
FE_OFC3380_n_8208/Y,g216498/B,0.277805,0.277917,0.277805,UNINIT,0.277917,UNINIT
FE_OFC3380_n_8208/Y,g215579/C,0.277805,0.277917,0.277805,UNINIT,0.277917,UNINIT
FE_OFC3380_n_8208/Y,g213499/C,0.277805,0.277917,0.277805,UNINIT,0.277917,UNINIT
g219314/Y,g217303/B,0.081179,0.081105,0.081179,UNINIT,0.081105,UNINIT
g219314/Y,g214774/C,0.081179,0.081105,0.081179,UNINIT,0.081105,UNINIT
g219314/Y,FE_OFC3256_n_2225/A,0.081179,0.081105,0.081179,UNINIT,0.081105,UNINIT
g218496/Y,FE_OFC562_n_2708/A,0.085065,0.085002,0.085065,UNINIT,0.085002,UNINIT
g218496/Y,g213305/C,0.085065,0.085002,0.085065,UNINIT,0.085002,UNINIT
g218496/Y,g213276__5122/C,0.085065,0.085002,0.085065,UNINIT,0.085002,UNINIT
g213320/Y,g213008__1666/A1,0.050793,0.050914,0.050793,UNINIT,0.050914,UNINIT
g219231/Y,g212975__6161/A2,0.134423,0.134597,0.134423,UNINIT,0.134597,UNINIT
g219231/Y,g215340/B,0.134423,0.134597,0.134423,UNINIT,0.134597,UNINIT
g219231/Y,g213060__9315/B1,0.134423,0.134597,0.134423,UNINIT,0.134597,UNINIT
g213211__6260/Y,g212934__8246/A2,0.024521,0.024661,0.024521,UNINIT,0.024661,UNINIT
g213216__3680/Y,g212750__5526/A2,0.020372,0.020375,0.020372,UNINIT,0.020375,UNINIT
g218530/Y,FE_OFC1369_n_2653/A,0.041759,0.041625,0.041759,UNINIT,0.041625,UNINIT
g213227__4733/Y,g213008__1666/A2,0.047996,0.048061,0.047996,UNINIT,0.048061,UNINIT
g214959/Y,g213299/B3,0.021437,0.021570,0.021437,UNINIT,0.021570,UNINIT
FE_OFC1340_n_2596/Y,g213054__6131/A3,0.125965,0.127121,0.125965,UNINIT,0.127121,UNINIT
FE_OFC1340_n_2596/Y,g213837/C,0.367204,0.368939,0.367204,UNINIT,0.368939,UNINIT
FE_OFC1340_n_2596/Y,g217166/B,0.175710,0.177162,0.175710,UNINIT,0.177162,UNINIT
FE_OFC1340_n_2596/Y,g213282__7482/B1,0.447804,0.449269,0.447804,UNINIT,0.449269,UNINIT
FE_OFC1340_n_2596/Y,g213033__9945/A1,0.296562,0.298348,0.296562,UNINIT,0.298348,UNINIT
FE_OFC1340_n_2596/Y,g213229__9315/A1,0.242937,0.244641,0.242937,UNINIT,0.244641,UNINIT
