epName,true_slack,pred_slack,diff_slack,true_arr,pred_arr,diff_arr,required,spName,riseFall
text_out_reg[89]/D,-7.089049816131592,-7.089111328125,6.151199340820312e-05,544.0784301757812,544.0784301757812,0.0,536.9893188476562,sa01_reg[1]/CLK,rise
u0_w_reg[0][17]/D,-58.492034912109375,-58.492095947265625,6.103515625e-05,538.686767578125,538.6868896484375,-0.0001220703125,480.1947937011719,u0_w_reg[3][15]/CLK,fall
u0_w_reg[3][12]/D,-163.3419189453125,-163.34185791015625,-6.103515625e-05,547.8045654296875,547.8045043945312,6.103515625e-05,384.462646484375,u0_w_reg[3][3]/CLK,rise
u0_w_reg[3][24]/D,-319.46807861328125,-319.4681396484375,6.103515625e-05,572.1734008789062,572.1735229492188,-0.0001220703125,252.70538330078125,u0_w_reg[3][16]/CLK,rise
text_in_r_reg[114]/D,140.85647583007812,140.85653686523438,-6.103515625e-05,414.5634765625,414.5635070800781,-3.0517578125e-05,555.4200439453125,text_in_r_reg[114]/CLK,rise
u0_w_reg[2][17]/D,-7.24664306640625,-7.2467041015625,6.103515625e-05,557.1959838867188,557.1961669921875,-0.00018310546875,549.949462890625,u0_w_reg[3][15]/CLK,rise
text_out_reg[115]/D,9.29461669921875,9.2945556640625,6.103515625e-05,547.6732788085938,547.6732788085938,0.0,556.9678344726562,sa11_reg[7]/CLK,rise
u0_w_reg[2][24]/D,-77.971435546875,-77.97149658203125,6.103515625e-05,590.452880859375,590.4529418945312,-6.103515625e-05,512.4814453125,u0_w_reg[3][16]/CLK,fall
text_out_reg[69]/D,-15.79449462890625,-15.7945556640625,6.103515625e-05,545.7301025390625,545.72998046875,0.0001220703125,529.9354248046875,sa30_reg[7]/CLK,rise
u0_w_reg[1][22]/D,-305.9283447265625,-305.92840576171875,6.103515625e-05,563.7325439453125,563.732666015625,-0.0001220703125,257.80426025390625,u0_w_reg[3][15]/CLK,rise
text_out_reg[47]/D,-3.1109619140625,-3.11102294921875,6.103515625e-05,539.29296875,539.2929077148438,6.103515625e-05,536.181884765625,sa20_reg[2]/CLK,rise
u0_w_reg[0][22]/D,-295.44085693359375,-295.44091796875,6.103515625e-05,552.7090454101562,552.709228515625,-0.00018310546875,257.268310546875,u0_w_reg[3][15]/CLK,rise
u0_w_reg[0][28]/D,-26.283935546875,-26.28399658203125,6.103515625e-05,548.2802124023438,548.2803344726562,-0.0001220703125,521.996337890625,u0_w_reg[3][16]/CLK,rise
text_out_reg[71]/D,21.0938720703125,21.09381103515625,6.103515625e-05,537.4603271484375,537.4603271484375,0.0,558.5541381835938,sa30_reg[7]/CLK,rise
u0_w_reg[2][19]/D,-10.23516845703125,-10.235107421875,-6.103515625e-05,563.8362426757812,563.8363647460938,-0.0001220703125,553.6012573242188,u0_w_reg[3][15]/CLK,rise
text_out_reg[91]/D,19.80078125,19.80084228515625,-6.103515625e-05,539.9688110351562,539.9688110351562,0.0,559.7696533203125,sa01_reg[1]/CLK,rise
text_out_reg[50]/D,64.86471557617188,64.86465454101562,6.103515625e-05,478.33026123046875,478.3302307128906,3.0517578125e-05,543.1948852539062,sa13_reg[1]/CLK,rise
u0_w_reg[1][19]/D,-58.225616455078125,-58.225555419921875,-6.103515625e-05,568.0094604492188,568.0095825195312,-0.0001220703125,509.7840270996094,u0_w_reg[3][15]/CLK,fall
u0_w_reg[2][5]/D,-84.65774536132812,-84.65780639648438,6.103515625e-05,555.651123046875,555.6511840820312,-6.103515625e-05,470.9933776855469,u0_w_reg[3][25]/CLK,fall
text_out_reg[43]/D,16.32562255859375,16.3255615234375,6.103515625e-05,531.377197265625,531.3771362304688,6.103515625e-05,547.7026977539062,sa20_reg[2]/CLK,rise
text_out_reg[35]/D,-257.8701171875,-257.87005615234375,-6.103515625e-05,553.4044799804688,553.4044799804688,0.0,295.534423828125,sa31_reg[7]/CLK,rise
